xi,xj,LLM_model,prompt_id
With a heavy,"With a heavy heart, I have to report that the 2012-2013 season of the New York City Ballet has come to an end.",Falcon-7B,641
With a laugh,"With a laugh, the man said: ""I'm not going to be a politician.",OPT,642
The dog sniffed,"The dog sniffed the air, then looked up at me.",Falcon-7B,399
He reached for,He reached for the door handle.,Falcon-7B,123
The horse galloped,"The horse galloped through the forest, and the trees were all dead.",OPT,447
The muscles warmed,The muscles warmed up and the blood started to flow.,Falcon-7B,494
She mixed the,"She mixed the two together and made a delicious, creamy, and rich sauce.",Falcon-7B,252
"Slowly, she walked","Slowly, she walked up to him and pulled up her shirt and pulled up her pants.",GPT-2,300
In the garden,"In the garden, the flowering plants are in bloom.",BLOOM,177
With a breath,"With a breath of fresh air, the wind was blowing in the direction of the
windmill, and the windmill was in the direction of the windmill.",BLOOM,622
With a gasp,"With a gasp, the man shook his head and looked at the woman.",BLOOM,637
The cat purred,The cat purred and rubbed against my leg.,Falcon-7B,359
"Gently, she placed","Gently, she placed the first pin into the center of the board and then moved down the length of the board, pulling the nails as close as possible.",GPT-Neo,96
The curtain parted,The curtain parted and the lights came up.,Falcon-7B,389
The results appeared,The results appeared in Nature Communications on Nov.,GPT-2,535
The moon glowed,"The moon glowed in the sky, and the stars twinkled in the night sky.",Falcon-7B,489
The flavors balanced,The flavors balanced out nicely.,OPT,428
She found the,She found the perfect spot to sit and watch the world go by.,Falcon-7B,245
"Slowly, she breathed","Slowly, she breathed out and felt the breath, as if she had felt something and felt it, but did not even notice.",GPT-2,295
The costume fit,The costume fit perfectly.,BLOOM,380
The bird chirped,The bird chirped.,OPT,325
In the hallway,"In the hallway I turned to look at my surroundings, I noticed a large window that had shattered.",GPT-2,180
She turned around,She turned around and looked at me.,OPT,275
"Slowly, she paddled","Slowly, she paddled her way to the shore.",OPT,298
The secret revealed,"The secret revealed: How to get a perfect manicure at home
The secret revealed: How to get a perfect manicure at home
The secret revealed: How to get a perfect manicure at home
The secret revealed: How to get a",Falcon-7B,546
With a taste,"With a taste of the '80s, the '90s and the '00s, the 2013 MTV Video Music Awards were a blast from the past.",Falcon-7B,658
The child laughed,"The child laughed and said, “Well, I don’t know.",BLOOM,365
The bees buzzed,The bees buzzed out as they looked on.,GPT-2,320
Under the bridge,"Under the bridge

Under the bridge may refer to:

Places

United States
Under the Bridge, a neighborhood in the Bronx, New York City
Under the Bridge (film), a 2010 film
Under the Bridge (",OPT,617
In the cave,"In the cave of the heart,
I found a treasure trove,
Of memories,
Of dreams,
Of hopes,
Of fears,
Of joys,
Of sorrows,
Of love,
Of hate,
Of",Falcon-7B,157
The fog rolled,The fog rolled over the houses for the first time since the end of the Second World War.,GPT-2,435
In the office,"In the office, we have a lot of meetings.",Falcon-7B,194
The phone rang,The phone rang and he turned and headed to the counter.,GPT-2,515
The music peaked,"The music peaked at number two in 1990, when The Beatles released 'Blended Nation'.",GPT-2,495
The stars shone,The stars shone brightly on the night of the first moon landing.,OPT,565
In the courtroom,"In the courtroom, the judge said that the plaintiff had been in the hospital for a week and had been in the hospital for a week and had been in the hospital for a week and had been in the hospital for a week and had",BLOOM,164
The ice crackled,The ice crackled with the sound of ice cracking and the crunching sound of ice under their feet.,GPT-Neo,450
In the distance,"In the distance he watched the sun rise in a very low-caste green, and in its broad shadows he saw it reflected by the sun over the forest behind him.",GPT-2,169
She added the,"She added the following to the list:
""If you are a member of the public, you are entitled to a free and fair trial.",BLOOM,232
"Quietly, he whispered","Quietly, he whispered to himself, ""I'm going to get that girl.",OPT,223
The rain pattered,"The rain pattered down on the roof of the house, and the wind howled through the trees.",OPT,532
The drawing completed,The drawing completed in July 2010 shows the top spot is now held by a group that holds the eighth spot and who now sits in seventh place.,GPT-2,408
"Carefully, she applied","Carefully, she applied the lid, checking with her head, squinting down at the oil as it hit her eyes.",GPT-Neo,82
He cracked the,He cracked the door shut behind her.,GPT-2,108
As they watched,"As they watched the news of the incident, several police stood outside the building and asked reporters to move immediately if they were being attacked.",GPT-2,66
"Quietly, he entered","Quietly, he entered the room.",Falcon-7B,217
The engine roared,"The engine roared to life as the first of the new Boeing 787 Dreamliners touched down at Los Angeles International Airport on Friday, marking the first time the new aircraft has been used in commercial service.",OPT,412
In the workshop,"In the workshop, you can set the number of players in the server.",OPT,212
"Slowly, he kneaded","Slowly, he kneaded her breasts, his thumbs circling her nipples.",Falcon-7B,287
In the distance,"In the distance, the sound of a train whistle.",Falcon-7B,169
The sauce simmered,The sauce simmered for 2 hours and the meat was tender and delicious.,Falcon-7B,544
The audience listened,The audience listened through large earbuds that had been put in their ears.,GPT-Neo,313
The bread baked,The bread baked in the oven was a little too sweet for me.,BLOOM,334
With a waft,"With a wafted air, he opened his mouth to speak, but without any response.",GPT-2,661
In the crowd,"In the crowd, the audience was divided into two groups.",BLOOM,166
He stretched his,He stretched his arms out and then he stretched his legs out.,OPT,135
The clock chimed,The clock chimed and the time for the meeting arrived.,GPT-Neo,370
He looked back,He looked back at the door.,Falcon-7B,116
He sat down,"He sat down, his knees drawn up to his chest, his hands folded on top of the table.",GPT-Neo,128
"Quietly, he entered","Quietly, he entered her room.",GPT-2,217
The door creaked,The door creaked with an explosion.,GPT-2,403
The cat purred,The cat purred.,OPT,359
The mirror reflected,The mirror reflected the light from the mirror and the light reflected from the mirror was reflected by the mirror.,BLOOM,486
As night approached,"As night approached, the soldiers in the armored vehicles stood.",GPT-2,13
The timer stopped,The timer stopped at 1:00.,Falcon-7B,582
The kite soared,The kite soared into the air and crashed into the tree.,GPT-2,463
As they argued,"As they argued about what they thought of this new law, they got some very interesting replies.",GPT-2,24
In the hallway,"In the hallway just outside her bedroom, Lucy had overheard something that had not escaped her mother when she entered the house.",GPT-Neo,180
"Slowly, she breathed","Slowly, she breathed the air, the sweet, sweet scent of the trees.",GPT-Neo,295
The ocean roared,"The ocean roared with the sound of the waves, and the sea was filled with the sound of the waves.",BLOOM,503
The waves lapped,"The waves lapped the pavement, turning one way and the other, but no one was still in the road in the early hours of Tuesday.",GPT-2,604
"Slowly, he typed","Slowly, he typed in the address of the website.",Falcon-7B,293
The coffee steamed,The coffee steamed milk is the best part.,OPT,375
In the study,"In the study, researchers examined more than 100 people aged 18 to 40 who had not participated in any kind of weight loss program.",GPT-2,208
In the field,"In the field of semiconductor devices, a semiconductor device having a structure in which a semiconductor chip is mounted on a substrate is known.",OPT,172
The curtain fell,"The curtain fell on the 2015 Major League Baseball free-agent frenzy on a Saturday for the most part, but there were a few notable players who remained unsigned into the new year.",GPT-Neo,387
The scene came,The scene came to life as the sun set over the city of Chicago.,Falcon-7B,545
The door opened,"The door opened, and she slipped into the room, closing the door softly behind her.",GPT-Neo,404
